queue_id,capture_date,broad_category_slug,broad_category_name,sub_category,micro_niche,keyword,source_level,research_priority,my_fit,selection_mode,entrypoints,primary_goal,product_target_per_keyword,shop_target_per_keyword,video_target_per_keyword,live_target_per_keyword,refresh_days,tiktok_search_url,tiktok_tag_url,google_shop_query_url,status,notes
KW-0017,2026-05-10,appliances,Household Appliances,Kitchen appliances,Mini blenders and choppers,electric chopper,micro_niche,cautious,medium,video_live,video|live|search,Find categories that depend on creator demonstration and live selling,18,5,4,1,14,https://www.tiktok.com/search?q=electric+chopper,https://www.tiktok.com/tag/electric-chopper,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22electric+chopper%22+Malaysia,todo,
KW-0018,2026-05-10,appliances,Household Appliances,Kitchen appliances,Mini blenders and choppers,mini blender,micro_niche,cautious,medium,video_live,video|live|search,Find categories that depend on creator demonstration and live selling,18,5,4,1,14,https://www.tiktok.com/search?q=mini+blender,https://www.tiktok.com/tag/mini-blender,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+blender%22+Malaysia,todo,
KW-0019,2026-05-10,appliances,Household Appliances,Kitchen appliances,Mini blenders and choppers,portable juicer,micro_niche,cautious,medium,video_live,video|live|search,Find categories that depend on creator demonstration and live selling,18,5,4,1,14,https://www.tiktok.com/search?q=portable+juicer,https://www.tiktok.com/tag/portable-juicer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22portable+juicer%22+Malaysia,todo,
KW-0020,2026-05-10,automotive,Automotive & Motorcycle,,,car diffuser,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=car+diffuser,https://www.tiktok.com/tag/car-diffuser,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+diffuser%22+Malaysia,todo,
KW-0021,2026-05-10,automotive,Automotive & Motorcycle,,,phone mount,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=phone+mount,https://www.tiktok.com/tag/phone-mount,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22phone+mount%22+Malaysia,todo,
KW-0022,2026-05-10,automotive,Automotive & Motorcycle,,,seat hook,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=seat+hook,https://www.tiktok.com/tag/seat-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22seat+hook%22+Malaysia,todo,
KW-0023,2026-05-10,automotive,Automotive & Motorcycle,,,tire gauge,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=tire+gauge,https://www.tiktok.com/tag/tire-gauge,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22tire+gauge%22+Malaysia,todo,
KW-0024,2026-05-10,automotive,Automotive & Motorcycle,Air and comfort,Diffusers and shades,car diffuser,micro_niche,cautious,low,video_live,video|live|search,Find categories that depend on creator demonstration and live selling,15,5,3,1,14,https://www.tiktok.com/search?q=car+diffuser,https://www.tiktok.com/tag/car-diffuser,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+diffuser%22+Malaysia,todo,
KW-0025,2026-05-10,automotive,Automotive & Motorcycle,Air and comfort,Diffusers and shades,seat cushion,micro_niche,cautious,low,video_live,video|live|search,Find categories that depend on creator demonstration and live selling,15,5,3,1,14,https://www.tiktok.com/search?q=seat+cushion,https://www.tiktok.com/tag/seat-cushion,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22seat+cushion%22+Malaysia,todo,
KW-0026,2026-05-10,automotive,Automotive & Motorcycle,Air and comfort,Diffusers and shades,sun shade,micro_niche,cautious,low,video_live,video|live|search,Find categories that depend on creator demonstration and live selling,15,5,3,1,14,https://www.tiktok.com/search?q=sun+shade,https://www.tiktok.com/tag/sun-shade,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22sun+shade%22+Malaysia,todo,
KW-0027,2026-05-10,automotive,Automotive & Motorcycle,Cleaning,Detailing cloths and tools,car cloth,micro_niche,cautious,medium,search_bundle,search|shop,Find low-ticket bundle and add-on opportunities,15,5,3,1,14,https://www.tiktok.com/search?q=car+cloth,https://www.tiktok.com/tag/car-cloth,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+cloth%22+Malaysia,todo,
KW-0028,2026-05-10,automotive,Automotive & Motorcycle,Cleaning,Detailing cloths and tools,cleaning gel,micro_niche,cautious,medium,search_bundle,search|shop,Find low-ticket bundle and add-on opportunities,15,5,3,1,14,https://www.tiktok.com/search?q=cleaning+gel,https://www.tiktok.com/tag/cleaning-gel,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22cleaning+gel%22+Malaysia,todo,
KW-0029,2026-05-10,automotive,Automotive & Motorcycle,Cleaning,Detailing cloths and tools,detailing brush,micro_niche,cautious,medium,search_bundle,search|shop,Find low-ticket bundle and add-on opportunities,15,5,3,1,14,https://www.tiktok.com/search?q=detailing+brush,https://www.tiktok.com/tag/detailing-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22detailing+brush%22+Malaysia,todo,
KW-0030,2026-05-10,automotive,Automotive & Motorcycle,Motorcycle accessories,Helmet and mount accessories,bike mount,micro_niche,cautious,low,search_only,search|shop,Find practical utility products with lower content dependence,15,5,3,1,14,https://www.tiktok.com/search?q=bike+mount,https://www.tiktok.com/tag/bike-mount,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22bike+mount%22+Malaysia,todo,
KW-0031,2026-05-10,automotive,Automotive & Motorcycle,Motorcycle accessories,Helmet and mount accessories,helmet visor,micro_niche,cautious,low,search_only,search|shop,Find practical utility products with lower content dependence,15,5,3,1,14,https://www.tiktok.com/search?q=helmet+visor,https://www.tiktok.com/tag/helmet-visor,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22helmet+visor%22+Malaysia,todo,
KW-0032,2026-05-10,automotive,Automotive & Motorcycle,Motorcycle accessories,Helmet and mount accessories,mirror accessory,micro_niche,cautious,low,search_only,search|shop,Find practical utility products with lower content dependence,15,5,3,1,14,https://www.tiktok.com/search?q=mirror+accessory,https://www.tiktok.com/tag/mirror-accessory,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mirror+accessory%22+Malaysia,todo,
KW-0033,2026-05-10,automotive,Automotive & Motorcycle,Mounts,Phone holders and dashboards,car mount,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,15,5,3,1,14,https://www.tiktok.com/search?q=car+mount,https://www.tiktok.com/tag/car-mount,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+mount%22+Malaysia,todo,
KW-0034,2026-05-10,automotive,Automotive & Motorcycle,Mounts,Phone holders and dashboards,dashboard holder,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,15,5,3,1,14,https://www.tiktok.com/search?q=dashboard+holder,https://www.tiktok.com/tag/dashboard-holder,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22dashboard+holder%22+Malaysia,todo,
KW-0035,2026-05-10,automotive,Automotive & Motorcycle,Mounts,Phone holders and dashboards,phone holder,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,15,5,3,1,14,https://www.tiktok.com/search?q=phone+holder,https://www.tiktok.com/tag/phone-holder,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22phone+holder%22+Malaysia,todo,
KW-0036,2026-05-10,automotive,Automotive & Motorcycle,Organization,Seat hooks and trunk organizers,car bin,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,15,5,3,1,14,https://www.tiktok.com/search?q=car+bin,https://www.tiktok.com/tag/car-bin,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+bin%22+Malaysia,todo,
KW-0037,2026-05-10,automotive,Automotive & Motorcycle,Organization,Seat hooks and trunk organizers,seat hook,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,15,5,3,1,14,https://www.tiktok.com/search?q=seat+hook,https://www.tiktok.com/tag/seat-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22seat+hook%22+Malaysia,todo,
KW-0038,2026-05-10,automotive,Automotive & Motorcycle,Organization,Seat hooks and trunk organizers,trunk organizer,micro_niche,cautious,medium,video_search,search|video,Find products with search demand and content proof,15,5,3,1,14,https://www.tiktok.com/search?q=trunk+organizer,https://www.tiktok.com/tag/trunk-organizer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22trunk+organizer%22+Malaysia,todo,
KW-0039,2026-05-10,baby-maternity,Baby & Maternity,,,baby bib,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=baby+bib,https://www.tiktok.com/tag/baby-bib,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22baby+bib%22+Malaysia,todo,
KW-0040,2026-05-10,baby-maternity,Baby & Maternity,,,bottle brush,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=bottle+brush,https://www.tiktok.com/tag/bottle-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22bottle+brush%22+Malaysia,todo,
KW-0041,2026-05-10,baby-maternity,Baby & Maternity,,,nursing cover,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=nursing+cover,https://www.tiktok.com/tag/nursing-cover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22nursing+cover%22+Malaysia,todo,
KW-0042,2026-05-10,baby-maternity,Baby & Maternity,,,stroller hook,broad_category,cautious,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=stroller+hook,https://www.tiktok.com/tag/stroller-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22stroller+hook%22+Malaysia,todo,
KW-0043,2026-05-10,baby-maternity,Baby & Maternity,Bath and care,Bath supports and towels,baby towel,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,16,5,3,1,14,https://www.tiktok.com/search?q=baby+towel,https://www.tiktok.com/tag/baby-towel,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22baby+towel%22+Malaysia,todo,
KW-0044,2026-05-10,baby-maternity,Baby & Maternity,Bath and care,Bath supports and towels,bath support,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,16,5,3,1,14,https://www.tiktok.com/search?q=bath+support,https://www.tiktok.com/tag/bath-support,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22bath+support%22+Malaysia,todo,
KW-0045,2026-05-10,baby-maternity,Baby & Maternity,Bath and care,Bath supports and towels,wash mitt,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,16,5,3,1,14,https://www.tiktok.com/search?q=wash+mitt,https://www.tiktok.com/tag/wash-mitt,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22wash+mitt%22+Malaysia,todo,
KW-0046,2026-05-10,baby-maternity,Baby & Maternity,Feeding,Bibs brushes and feeding tools,baby bib,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,16,5,3,1,14,https://www.tiktok.com/search?q=baby+bib,https://www.tiktok.com/tag/baby-bib,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22baby+bib%22+Malaysia,todo,
KW-0047,2026-05-10,baby-maternity,Baby & Maternity,Feeding,Bibs brushes and feeding tools,bottle brush,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,16,5,3,1,14,https://www.tiktok.com/search?q=bottle+brush,https://www.tiktok.com/tag/bottle-brush,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22bottle+brush%22+Malaysia,todo,
KW-0048,2026-05-10,baby-maternity,Baby & Maternity,Feeding,Bibs brushes and feeding tools,feeding spoon,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,16,5,3,1,14,https://www.tiktok.com/search?q=feeding+spoon,https://www.tiktok.com/tag/feeding-spoon,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22feeding+spoon%22+Malaysia,todo,
KW-0049,2026-05-10,baby-maternity,Baby & Maternity,Maternity support,Pillows and belts,maternity pillow,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,16,5,3,1,14,https://www.tiktok.com/search?q=maternity+pillow,https://www.tiktok.com/tag/maternity-pillow,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22maternity+pillow%22+Malaysia,todo,
KW-0050,2026-05-10,baby-maternity,Baby & Maternity,Maternity support,Pillows and belts,pregnancy pillow,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,16,5,3,1,14,https://www.tiktok.com/search?q=pregnancy+pillow,https://www.tiktok.com/tag/pregnancy-pillow,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22pregnancy+pillow%22+Malaysia,todo,
KW-0051,2026-05-10,baby-maternity,Baby & Maternity,Maternity support,Pillows and belts,support belt,micro_niche,cautious,low,review_led,search|review,Find products where trust and proof matter most,16,5,3,1,14,https://www.tiktok.com/search?q=support+belt,https://www.tiktok.com/tag/support-belt,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22support+belt%22+Malaysia,todo,
KW-0052,2026-05-10,baby-maternity,Baby & Maternity,Nursing,Nursing covers and pads,breast pad,micro_niche,cautious,low,search_only,search|shop,Find practical utility products with lower content dependence,16,5,3,1,14,https://www.tiktok.com/search?q=breast+pad,https://www.tiktok.com/tag/breast-pad,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22breast+pad%22+Malaysia,todo,
KW-0053,2026-05-10,baby-maternity,Baby & Maternity,Nursing,Nursing covers and pads,nursing cover,micro_niche,cautious,low,search_only,search|shop,Find practical utility products with lower content dependence,16,5,3,1,14,https://www.tiktok.com/search?q=nursing+cover,https://www.tiktok.com/tag/nursing-cover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22nursing+cover%22+Malaysia,todo,
KW-0054,2026-05-10,baby-maternity,Baby & Maternity,Nursing,Nursing covers and pads,pump bag,micro_niche,cautious,low,search_only,search|shop,Find practical utility products with lower content dependence,16,5,3,1,14,https://www.tiktok.com/search?q=pump+bag,https://www.tiktok.com/tag/pump-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22pump+bag%22+Malaysia,todo,
KW-0055,2026-05-10,baby-maternity,Baby & Maternity,Travel,Stroller hooks and organizers,baby organizer,micro_niche,cautious,low,search_only,search|shop,Find practical utility products with lower content dependence,16,5,3,1,14,https://www.tiktok.com/search?q=baby+organizer,https://www.tiktok.com/tag/baby-organizer,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22baby+organizer%22+Malaysia,todo,
KW-0056,2026-05-10,baby-maternity,Baby & Maternity,Travel,Stroller hooks and organizers,car seat cover,micro_niche,cautious,low,search_only,search|shop,Find practical utility products with lower content dependence,16,5,3,1,14,https://www.tiktok.com/search?q=car+seat+cover,https://www.tiktok.com/tag/car-seat-cover,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22car+seat+cover%22+Malaysia,todo,
KW-0057,2026-05-10,baby-maternity,Baby & Maternity,Travel,Stroller hooks and organizers,stroller hook,micro_niche,cautious,low,search_only,search|shop,Find practical utility products with lower content dependence,16,5,3,1,14,https://www.tiktok.com/search?q=stroller+hook,https://www.tiktok.com/tag/stroller-hook,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22stroller+hook%22+Malaysia,todo,
KW-0058,2026-05-10,bags,Luggage & Bags,,,crossbody bag,broad_category,watch,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=crossbody+bag,https://www.tiktok.com/tag/crossbody-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22crossbody+bag%22+Malaysia,todo,
KW-0059,2026-05-10,bags,Luggage & Bags,,,lunch bag,broad_category,watch,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=lunch+bag,https://www.tiktok.com/tag/lunch-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22lunch+bag%22+Malaysia,todo,
KW-0060,2026-05-10,bags,Luggage & Bags,,,makeup pouch,broad_category,watch,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=makeup+pouch,https://www.tiktok.com/tag/makeup-pouch,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22makeup+pouch%22+Malaysia,todo,
KW-0061,2026-05-10,bags,Luggage & Bags,,,storage pouch,broad_category,watch,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=storage+pouch,https://www.tiktok.com/tag/storage-pouch,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22storage+pouch%22+Malaysia,todo,
KW-0062,2026-05-10,bags,Luggage & Bags,,,travel bag,broad_category,watch,,,,broad category discovery,,,,,,https://www.tiktok.com/search?q=travel+bag,https://www.tiktok.com/tag/travel-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22travel+bag%22+Malaysia,todo,
KW-0063,2026-05-10,bags,Luggage & Bags,Crossbody,Small daily bags,crossbody bag,micro_niche,watch,medium,video_live,video|live|search,Find categories that depend on creator demonstration and live selling,22,7,6,3,7,https://www.tiktok.com/search?q=crossbody+bag,https://www.tiktok.com/tag/crossbody-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22crossbody+bag%22+Malaysia,todo,
KW-0064,2026-05-10,bags,Luggage & Bags,Crossbody,Small daily bags,mini bag,micro_niche,watch,medium,video_live,video|live|search,Find categories that depend on creator demonstration and live selling,22,7,6,3,7,https://www.tiktok.com/search?q=mini+bag,https://www.tiktok.com/tag/mini-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22mini+bag%22+Malaysia,todo,
KW-0065,2026-05-10,bags,Luggage & Bags,Crossbody,Small daily bags,sling bag,micro_niche,watch,medium,video_live,video|live|search,Find categories that depend on creator demonstration and live selling,22,7,6,3,7,https://www.tiktok.com/search?q=sling+bag,https://www.tiktok.com/tag/sling-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22sling+bag%22+Malaysia,todo,
KW-0066,2026-05-10,bags,Luggage & Bags,Office and school,Tote and laptop bags,laptop bag,micro_niche,watch,low,search_only,search|shop,Find practical utility products with lower content dependence,22,7,6,3,7,https://www.tiktok.com/search?q=laptop+bag,https://www.tiktok.com/tag/laptop-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22laptop+bag%22+Malaysia,todo,
KW-0067,2026-05-10,bags,Luggage & Bags,Office and school,Tote and laptop bags,school tote,micro_niche,watch,low,search_only,search|shop,Find practical utility products with lower content dependence,22,7,6,3,7,https://www.tiktok.com/search?q=school+tote,https://www.tiktok.com/tag/school-tote,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22school+tote%22+Malaysia,todo,
KW-0068,2026-05-10,bags,Luggage & Bags,Office and school,Tote and laptop bags,tote bag,micro_niche,watch,low,search_only,search|shop,Find practical utility products with lower content dependence,22,7,6,3,7,https://www.tiktok.com/search?q=tote+bag,https://www.tiktok.com/tag/tote-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22tote+bag%22+Malaysia,todo,
KW-0069,2026-05-10,bags,Luggage & Bags,Storage,Cosmetic and toiletry pouches,makeup pouch,micro_niche,watch,medium,search_bundle,search|shop,Find low-ticket bundle and add-on opportunities,22,7,6,3,7,https://www.tiktok.com/search?q=makeup+pouch,https://www.tiktok.com/tag/makeup-pouch,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22makeup+pouch%22+Malaysia,todo,
KW-0070,2026-05-10,bags,Luggage & Bags,Storage,Cosmetic and toiletry pouches,toiletry bag,micro_niche,watch,medium,search_bundle,search|shop,Find low-ticket bundle and add-on opportunities,22,7,6,3,7,https://www.tiktok.com/search?q=toiletry+bag,https://www.tiktok.com/tag/toiletry-bag,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22toiletry+bag%22+Malaysia,todo,
KW-0071,2026-05-10,bags,Luggage & Bags,Storage,Cosmetic and toiletry pouches,zip pouch,micro_niche,watch,medium,search_bundle,search|shop,Find low-ticket bundle and add-on opportunities,22,7,6,3,7,https://www.tiktok.com/search?q=zip+pouch,https://www.tiktok.com/tag/zip-pouch,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22zip+pouch%22+Malaysia,todo,
KW-0072,2026-05-10,bags,Luggage & Bags,Travel,Weekender and travel pouches,packing pouch,micro_niche,watch,medium,video_search,search|video,Find products with search demand and content proof,22,7,6,3,7,https://www.tiktok.com/search?q=packing+pouch,https://www.tiktok.com/tag/packing-pouch,https://www.google.com/search?q=site%3Ashop.tiktok.com%2Fview%2Fproduct+%22packing+pouch%22+Malaysia,todo,
